language,severity,count_baseline,count_ner,baseline_sbert,ner-extension_sbert,delta_ner_pct
de,Neutral,1753,844,0.728,0.8485,16.54
de,Minor,2833,1512,0.6497,0.8596,32.3
de,Major,7495,3769,0.6193,0.8425,36.03
de,Critical,46,34,0.5765,0.9011,56.3
es,Neutral,1207,445,0.6292,0.8437,34.09
es,Minor,7255,3190,0.5697,0.8287,45.47
es,Major,381,228,0.5653,0.7554,33.63
es,Critical,450,197,0.5981,0.7186,20.15
fr,Neutral,1562,585,0.6613,0.8481,28.26
fr,Minor,2840,1144,0.5316,0.8203,54.31
fr,Major,597,345,0.5389,0.7878,46.19
fr,Critical,50,16,0.4857,0.5771,18.82
ru,Neutral,2547,1400,0.6164,0.8203,33.09
ru,Minor,1031,581,0.6127,0.8065,31.65
ru,Major,415,267,0.5,0.728,45.59
ru,Critical,120,85,0.5354,0.5345,-0.17
zh-CN,Neutral,2644,1401,0.5957,0.8708,46.16
zh-CN,Minor,6078,2680,0.5662,0.8371,47.85
zh-CN,Major,1617,839,0.535,0.7825,46.26
zh-CN,Critical,11,12,0.6907,0.6573,-4.84
