Language,Severity,baseline_F1,bt_laura_F1,delta_F1,baseline_EM,bt_laura_EM,delta_EM,baseline_chrF,bt_laura_chrF,delta_chrF,baseline_BLEU,bt_laura_BLEU,delta_BLEU,baseline_str_count,bt_laura_str_count,baseline_SBERT,bt_laura_SBERT,delta_SBERT,baseline_sbert_count,bt_laura_sbert_count
de,Neutral,0.6036,0.5702,-0.0334,0.4425,0.2441,-0.1983,67.7933,58.8976,-8.8957,54.6574,38.9936,-15.6639,409,426,0.7493,0.7317,-0.0175,409,426
de,Minor,0.5261,0.4975,-0.0286,0.3546,0.1513,-0.2033,60.1042,51.2859,-8.8183,46.0346,30.4022,-15.6324,567,572,0.6633,0.6680,0.0048,567,572
de,Major,0.4898,0.4585,-0.0313,0.3389,0.1208,-0.2181,56.4853,49.7026,-6.7827,43.1315,26.9204,-16.2111,1508,1520,0.6368,0.6506,0.0138,1508,1520
de,Critical,0.5332,0.4296,-0.1036,0.4308,0.1962,-0.2346,59.1025,45.5326,-13.5699,48.5660,23.5552,-25.0109,13,13,0.6476,0.5991,-0.0485,13,13
es,Neutral,0.5269,0.5978,0.0708,0.3048,0.2039,-0.1009,57.8456,61.0560,3.2104,43.9465,42.3244,-1.6221,264,264,0.6665,0.7521,0.0855,264,264
es,Minor,0.4408,0.5137,0.0729,0.2329,0.1546,-0.0783,50.3953,53.4111,3.0158,35.7681,32.4688,-3.2993,1376,1376,0.5992,0.6879,0.0887,1376,1376
es,Major,0.4438,0.5381,0.0943,0.2381,0.1976,-0.0405,49.7693,55.5873,5.8180,36.0319,37.0566,1.0247,74,74,0.5901,0.6917,0.1016,74,74
es,Critical,0.4303,0.4844,0.0541,0.2285,0.1567,-0.0718,49.7741,52.1584,2.3843,35.6132,30.3145,-5.2987,94,94,0.6341,0.6653,0.0312,94,94
fr,Neutral,0.5221,0.5645,0.0424,0.3606,0.2284,-0.1321,61.5374,60.3695,-1.1679,45.9180,40.4176,-5.5004,371,377,0.6921,0.7542,0.0622,371,377
fr,Minor,0.3931,0.4340,0.0409,0.2205,0.1365,-0.0840,45.8047,46.9496,1.1449,31.9072,27.6278,-4.2794,593,597,0.5650,0.6269,0.0619,593,597
fr,Major,0.3910,0.4169,0.0258,0.2136,0.1102,-0.1034,45.0499,45.4021,0.3522,31.7373,23.5180,-8.2193,140,140,0.5738,0.6187,0.0450,140,140
fr,Critical,0.1977,0.2929,0.0952,0.0455,0.0000,-0.0455,27.0822,39.1531,12.0709,13.0144,14.5028,1.4884,11,11,0.4529,0.5390,0.0860,11,11
ru,Neutral,0.4976,0.5297,0.0321,0.2536,0.0806,-0.1730,56.1904,55.4645,-0.7259,38.6777,30.0952,-8.5825,587,587,0.6526,0.7155,0.0629,587,587
ru,Minor,0.5001,0.5351,0.0350,0.3014,0.1161,-0.1853,54.6777,54.2429,-0.4349,41.7070,32.4326,-9.2745,205,205,0.6241,0.7149,0.0909,205,205
ru,Major,0.3754,0.4690,0.0936,0.1770,0.0696,-0.1073,43.8255,47.9994,4.1739,30.3982,24.2050,-6.1931,74,74,0.5112,0.6312,0.1200,74,74
ru,Critical,0.3329,0.4087,0.0758,0.1114,0.0386,-0.0729,43.5268,41.4032,-2.1235,28.2307,17.2786,-10.9521,20,20,0.4989,0.5961,0.0972,20,20
zh-CN,Neutral,0.4330,0.4722,0.0392,0.2337,0.0651,-0.1686,50.3869,49.4360,-0.9508,35.5151,26.2949,-9.2201,663,675,0.6051,0.7024,0.0973,663,675
zh-CN,Minor,0.4221,0.4198,-0.0024,0.1812,0.0525,-0.1287,48.4737,45.6191,-2.8546,31.6144,22.2522,-9.3622,1207,1210,0.5830,0.6470,0.0640,1207,1210
zh-CN,Major,0.3790,0.3962,0.0172,0.1697,0.0821,-0.0876,45.1300,44.0514,-1.0787,29.4982,21.7812,-7.7170,318,318,0.5736,0.6196,0.0460,318,318
zh-CN,Critical,0.4529,0.4661,0.0133,0.3214,0.0476,-0.2738,52.2080,48.3707,-3.8374,41.3569,27.1776,-14.1793,2,3,0.6627,0.6134,-0.0493,2,3
