Language,Severity,baseline_F1,baseline_EM,baseline_chrF,baseline_BLEU,baseline_count,ner_F1,ner_EM,ner_chrF,ner_BLEU,ner_count,P1_fewshot_F1,P1_fewshot_EM,P1_fewshot_chrF,P1_fewshot_BLEU,P1_fewshot_count,P2_cot_F1,P2_cot_EM,P2_cot_chrF,P2_cot_BLEU,P2_cot_count,P3_concise_F1,P3_concise_EM,P3_concise_chrF,P3_concise_BLEU,P3_concise_count,delta_ner_F1,delta_ner_EM,delta_ner_chrF,delta_ner_BLEU,delta_P1_fewshot_F1,delta_P1_fewshot_EM,delta_P1_fewshot_chrF,delta_P1_fewshot_BLEU,delta_P2_cot_F1,delta_P2_cot_EM,delta_P2_cot_chrF,delta_P2_cot_BLEU,delta_P3_concise_F1,delta_P3_concise_EM,delta_P3_concise_chrF,delta_P3_concise_BLEU
de,Neutral,0.6036,0.4425,67.7933,54.6574,409,0.7046,0.5928,56.8015,48.2595,426,0.7194,0.4156,71.7508,57.1611,426,0.6104,0.4300,61.8440,48.2545,426,0.6471,0.4188,66.0252,52.0838,426,0.1011,0.1503,-10.9919,-6.3980,0.1158,-0.0269,3.9575,2.5036,0.0068,-0.0124,-5.9493,-6.4030,0.0435,-0.0237,-1.7681,-2.5736
de,Minor,0.5261,0.3546,60.1042,46.0346,567,0.7190,0.5781,64.5310,53.5481,572,0.5988,0.2821,61.5251,42.8804,572,0.5230,0.3546,54.3897,39.5702,572,0.5308,0.3138,55.0791,40.2731,572,0.1929,0.2235,4.4269,7.5135,0.0727,-0.0725,1.4209,-3.1542,-0.0030,-0.0000,-5.7144,-6.4645,0.0048,-0.0408,-5.0251,-5.7616
de,Major,0.4898,0.3389,56.4853,43.1315,1508,0.6493,0.5249,57.8335,45.8256,1520,0.5537,0.2602,57.7031,39.6304,1520,0.4830,0.3083,50.4201,35.1527,1520,0.4855,0.2713,51.7957,35.7914,1520,0.1595,0.1860,1.3482,2.6942,0.0639,-0.0787,1.2178,-3.5010,-0.0068,-0.0306,-6.0652,-7.9787,-0.0043,-0.0676,-4.6896,-7.3401
de,Critical,0.5332,0.4308,59.1025,48.5660,13,0.7964,0.6667,57.4695,43.7746,13,0.4503,0.1462,46.3926,27.3187,13,0.4116,0.3115,46.3333,36.6927,13,0.3841,0.1641,40.1666,25.2113,13,0.2632,0.2359,-1.6331,-4.7914,-0.0829,-0.2846,-12.7099,-21.2473,-0.1216,-0.1192,-12.7692,-11.8733,-0.1490,-0.2667,-18.9359,-23.3547
es,Neutral,0.5269,0.3048,57.8456,43.9465,264,0.6732,0.5114,46.1695,38.3861,264,0.6537,0.3119,65.2401,48.4731,264,0.5456,0.3013,56.3955,39.9501,264,0.5804,0.3656,60.6901,44.8082,264,0.1463,0.2066,-11.6762,-5.5604,0.1268,0.0071,7.3945,4.5266,0.0187,-0.0035,-1.4502,-3.9964,0.0535,0.0608,2.8445,0.8617
es,Minor,0.4408,0.2329,50.3953,35.7681,1376,0.6984,0.5222,58.5656,47.4738,1376,0.5520,0.2099,56.3792,38.2339,1376,0.4591,0.2307,49.3039,33.0429,1376,0.4769,0.2404,50.3679,34.1529,1376,0.2576,0.2893,8.1703,11.7057,0.1112,-0.0230,5.9838,2.4658,0.0183,-0.0022,-1.0914,-2.7252,0.0361,0.0074,-0.0274,-1.6152
es,Major,0.4438,0.2381,49.7693,36.0319,74,0.5968,0.3592,54.7532,41.9345,74,0.5369,0.1940,55.0920,36.2895,74,0.4760,0.2594,49.6078,36.0935,74,0.4754,0.2445,49.2178,34.3216,74,0.1530,0.1211,4.9839,5.9026,0.0931,-0.0440,5.3227,0.2576,0.0321,0.0214,-0.1614,0.0616,0.0316,0.0064,-0.5514,-1.7103
es,Critical,0.4303,0.2285,49.7741,35.6132,94,0.6146,0.4876,44.0103,34.4410,94,0.4926,0.1808,53.0702,33.6678,94,0.4534,0.2711,48.8828,32.9521,94,0.4651,0.2435,49.9630,34.4218,94,0.1843,0.2590,-5.7638,-1.1722,0.0623,-0.0478,3.2961,-1.9454,0.0231,0.0426,-0.8913,-2.6611,0.0348,0.0150,0.1889,-1.1914
fr,Neutral,0.5221,0.3606,61.5374,45.9180,371,0.6403,0.4683,56.7872,44.2257,377,0.6081,0.3178,63.4581,46.5706,377,0.5505,0.3601,58.3729,41.9788,377,0.5629,0.3279,59.7088,45.4697,377,0.1181,0.1077,-4.7502,-1.6924,0.0860,-0.0428,1.9207,0.6525,0.0284,-0.0005,-3.1645,-3.9392,0.0407,-0.0327,-1.8286,-0.4483
fr,Minor,0.3931,0.2205,45.8047,31.9072,593,0.6470,0.4202,58.6537,42.8222,597,0.4913,0.1961,51.0545,33.2691,597,0.4202,0.2312,43.1776,28.0834,597,0.4359,0.2252,46.6633,32.3500,597,0.2539,0.1997,12.8489,10.9149,0.0982,-0.0244,5.2498,1.3619,0.0272,0.0107,-2.6272,-3.8239,0.0428,0.0047,0.8586,0.4427
fr,Major,0.3910,0.2136,45.0499,31.7373,140,0.6393,0.4226,60.2060,46.6797,140,0.4811,0.1499,51.2839,31.9057,140,0.4559,0.2886,47.7900,34.3778,140,0.4663,0.2527,49.5901,35.3635,140,0.2482,0.2090,15.1561,14.9425,0.0901,-0.0637,6.2340,0.1684,0.0649,0.0750,2.7401,2.6406,0.0753,0.0391,4.5402,3.6263
fr,Critical,0.1977,0.0455,27.0822,13.0144,11,0.2064,0.0455,37.1572,12.7005,11,0.4207,0.0606,47.6686,20.7623,11,0.2630,0.0909,34.0538,13.7162,11,0.3305,0.0303,39.9512,18.0631,11,0.0086,0.0000,10.0750,-0.3139,0.2230,0.0152,20.5865,7.7479,0.0653,0.0455,6.9716,0.7018,0.1328,-0.0152,12.8691,5.0487
ru,Neutral,0.4976,0.2536,56.1904,38.6777,587,0.7091,0.4688,60.3831,45.3458,587,0.5583,0.1617,58.6679,35.0817,587,0.5033,0.2307,52.9514,33.3242,587,0.5194,0.2522,54.8468,37.1755,587,0.2115,0.2152,4.1928,6.6681,0.0607,-0.0920,2.4775,-3.5960,0.0057,-0.0229,-3.2390,-5.3535,0.0218,-0.0015,-1.3436,-1.5022
