lang,severity,baseline_sbert,ner_sbert,delta_sbert,baseline_f1,ner_f1,delta_f1,baseline_em,ner_em,delta_em,baseline_chrf,ner_chrf,delta_chrf,baseline_bleu,ner_bleu,delta_bleu
de,Critical,0.7950,0.8458,+0.0508,0.5332,0.7964,+0.2632,0.4308,0.6667,+0.2359,59.10,75.63,+16.53,48.57,57.13,+8.56
de,Major,0.7046,0.7746,+0.0700,0.4898,0.6493,+0.1595,0.3389,0.5249,+0.1860,56.49,67.08,+10.59,43.13,54.84,+11.71
de,Minor,0.7592,0.8312,+0.0720,0.5261,0.7190,+0.1929,0.3546,0.5781,+0.2235,60.10,73.92,+13.82,46.03,62.89,+16.86
de,Neutral,0.8777,0.7612,-0.1165,0.6036,0.7046,+0.1010,0.4425,0.5928,+0.1503,67.79,70.45,+2.66,54.66,61.86,+7.20
es,Critical,0.7641,0.6137,-0.1504,0.4303,0.6146,+0.1843,0.2285,0.4876,+0.2591,49.77,61.83,+12.06,35.61,51.92,+16.31
es,Major,0.6896,0.6937,+0.0041,0.4438,0.5968,+0.1530,0.2381,0.3592,+0.1211,49.77,60.75,+10.98,36.03,47.92,+11.89
es,Minor,0.7026,0.7388,+0.0362,0.4408,0.6984,+0.2576,0.2329,0.5222,+0.2893,50.40,71.03,+20.63,35.77,59.72,+23.95
es,Neutral,0.7824,0.6485,-0.1339,0.5269,0.6732,+0.1463,0.3048,0.5114,+0.2066,57.85,67.57,+9.72,43.95,59.53,+15.58
fr,Critical,0.4641,0.3905,-0.0736,0.1977,0.2064,+0.0087,0.0455,0.0455,0.0000,27.08,37.16,+10.08,13.01,12.70,-0.31
fr,Major,0.6772,0.7284,+0.0512,0.3910,0.6393,+0.2483,0.2136,0.4226,+0.2090,45.05,64.61,+19.56,31.74,51.08,+19.34
fr,Minor,0.6710,0.7279,+0.0569,0.3931,0.6470,+0.2539,0.2205,0.4202,+0.1997,45.80,65.47,+19.67,31.91,49.63,+17.72
fr,Neutral,0.8437,0.7012,-0.1425,0.5221,0.6403,+0.1182,0.3606,0.4683,+0.1077,61.54,65.41,+3.87,45.92,52.84,+6.92
ru,Critical,0.5527,0.4639,-0.0888,0.3329,0.4807,+0.1478,0.1114,0.3083,+0.1969,43.53,44.03,+0.50,28.23,34.90,+6.67
ru,Major,0.6789,0.7819,+0.1030,0.3754,0.6784,+0.3030,0.1770,0.4882,+0.3112,43.83,70.56,+26.73,30.40,58.82,+28.42
ru,Minor,0.7390,0.8169,+0.0779,0.5001,0.7442,+0.2441,0.3014,0.5312,+0.2298,54.68,75.69,+21.01,41.71,63.76,+22.05
ru,Neutral,0.8010,0.7970,-0.0040,0.4976,0.7091,+0.2115,0.2536,0.4688,+0.2152,56.19,71.74,+15.55,38.68,56.69,+18.01
zh-CN,Critical,0.7257,0.6773,-0.0484,0.4529,0.5861,+0.1332,0.3214,0.4667,+0.1453,52.21,68.28,+16.07,41.36,57.84,+16.48
zh-CN,Major,0.7120,0.7096,-0.0024,0.3790,0.5999,+0.2209,0.1697,0.3989,+0.2292,45.13,63.50,+18.37,29.50,50.18,+20.68
zh-CN,Minor,0.6903,0.6654,-0.0249,0.4221,0.5877,+0.1656,0.1812,0.3714,+0.1902,48.47,60.80,+12.33,31.61,47.72,+16.11
zh-CN,Neutral,0.7708,0.7665,-0.0043,0.4330,0.6484,+0.2154,0.2337,0.4654,+0.2317,50.39,67.87,+17.48,35.52,54.05,+18.53
