lang,severity,count,avg_f1,avg_em,avg_chrf,avg_bleu
de,Neutral,426,0.7046473958990844,0.5928012519561815,70.44785285266883,61.85885870750864
de,Minor,572,0.7189754465527599,0.5780760905760906,73.92358290118098,62.8919396777411
de,Major,1520,0.6493043689379523,0.5249201127819548,67.07688142542824,54.83532062921793
de,Critical,13,0.7964063714063714,0.6666666666666666,75.63011501424768,57.129505935743275
es,Neutral,264,0.6731935089534785,0.5114267676767678,67.5725566756992,59.52986414063401
es,Minor,1376,0.6983981585716857,0.5222158776301218,71.0274361766204,59.72010405587975
es,Major,74,0.5968372213999149,0.35916988416988416,60.7545654949722,47.91902314672368
es,Critical,94,0.6145800716799792,0.4875886524822695,61.829014058259595,51.91633325782844
fr,Neutral,377,0.6402870206311851,0.46825817860300617,65.4100207980708,52.83750285223868
fr,Minor,597,0.6469571354959709,0.4201563372417644,65.4744825282609,49.62843594037025
fr,Major,140,0.6392634901617821,0.4226190476190476,64.61453662475783,51.08447697007648
fr,Critical,11,0.20636232454414272,0.045454545454545456,37.15718470415134,12.700535121937095
ru,Neutral,587,0.7091334208620287,0.4688164192423136,71.73562764697843,56.68634529770563
ru,Minor,205,0.7441855321466332,0.5312078977932636,75.69093437753926,63.76336128081783
ru,Major,74,0.6783628725079482,0.4881595881595882,70.55983751444592,58.81849150007285
ru,Critical,20,0.4806571669071669,0.30833333333333335,44.02816610482117,34.9049673749145
zh-CN,Neutral,675,0.6484271127744953,0.46543621399176954,67.86758043753997,54.0511142702584
zh-CN,Minor,1210,0.5877192535475336,0.3713888888888889,60.799340137971946,47.71865804769949
zh-CN,Major,318,0.5998922654327464,0.3989368074273735,63.50185140560956,50.18437253025278
zh-CN,Critical,3,0.5861111111111111,0.4666666666666666,68.28095022971938,57.83547472099405
