GLOBAL AGREEMENT BY SEVERITY
Severity,Matches,Total,Agreement_Rate
Neutral,6757,9713,69.57%
Minor,13759,20037,68.67%
Major,7640,10505,72.73%
Critical,451,677,66.62%
OVERALL,28607,40932,69.89%

BY LANGUAGE × SEVERITY
Language,Severity,Matches,Total,Agreement_Rate
de,Neutral,1268,1753,72.33%
de,Minor,2157,2833,76.14%
de,Major,5599,7495,74.70%
de,Critical,34,46,73.91%
es,Neutral,846,1207,70.09%
es,Minor,4898,7255,67.51%
es,Major,266,381,69.82%
es,Critical,300,450,66.67%
fr,Neutral,1106,1562,70.81%
fr,Minor,1947,2840,68.56%
fr,Major,427,597,71.52%
fr,Critical,25,50,50.00%
ru,Neutral,1682,2547,66.04%
ru,Minor,721,1031,69.93%
ru,Major,277,415,66.75%
ru,Critical,85,120,70.83%
zh-CN,Neutral,1855,2644,70.16%
zh-CN,Minor,4036,6078,66.40%
zh-CN,Major,1071,1617,66.23%
zh-CN,Critical,7,11,63.64%
