GLOBAL RESULTS
Label,LLM_Avg_Prob,LLM_Count,NLI_Avg_Prob,NLI_Count
ENTAILMENT,0.9666,10167,0.9091,13143
NEUTRAL,0.8929,8765,0.8807,8003
CONTRADICTION,0.8757,4517,0.8115,2303

BY LANGUAGE
Language,Label,LLM_Avg_Prob,LLM_Count,NLI_Avg_Prob,NLI_Count
de,ENTAILMENT,0.9661,3019,0.9104,3698
de,NEUTRAL,0.8892,1825,0.8828,1580
de,CONTRADICTION,0.8740,999,0.8375,565
es,ENTAILMENT,0.9719,1572,0.9086,2146
es,NEUTRAL,0.8982,1679,0.8866,1485
es,CONTRADICTION,0.8528,744,0.8005,364
fr,ENTAILMENT,0.9610,1267,0.9119,1730
fr,NEUTRAL,0.9001,1233,0.8927,1086
fr,CONTRADICTION,0.8892,655,0.8211,339
ru,ENTAILMENT,0.9698,1306,0.9163,1665
ru,NEUTRAL,0.8825,1013,0.8628,1006
ru,CONTRADICTION,0.8816,678,0.8086,326
zh-CN,ENTAILMENT,0.9651,3003,0.9039,3904
zh-CN,NEUTRAL,0.8927,3015,0.8782,2846
zh-CN,CONTRADICTION,0.8800,1441,0.7930,709
