SUMMARY
Total Comparisons,23449
Total Agreements,16361
Agreement Rate,69.77%

GLOBAL RESULTS (WHEN BOTH AGREE)
Label,LLM_Avg_Prob,NLI_Avg_Prob,Count
ENTAILMENT,0.9698,0.9259,9566
NEUTRAL,0.9011,0.9091,5079
CONTRADICTION,0.9240,0.8307,1716

BY LANGUAGE (WHEN BOTH AGREE)
Language,Label,LLM_Avg_Prob,NLI_Avg_Prob,Count
de,ENTAILMENT,0.9687,0.9186,2886
de,NEUTRAL,0.9011,0.9093,994
de,CONTRADICTION,0.9196,0.8630,468
es,ENTAILMENT,0.9768,0.9270,1487
es,NEUTRAL,0.9061,0.9058,988
es,CONTRADICTION,0.9146,0.8109,263
fr,ENTAILMENT,0.9664,0.9305,1203
fr,NEUTRAL,0.9217,0.9271,719
fr,CONTRADICTION,0.9235,0.8133,267
ru,ENTAILMENT,0.9750,0.9302,1205
ru,NEUTRAL,0.8926,0.8993,551
ru,CONTRADICTION,0.9278,0.8163,231
zh-CN,ENTAILMENT,0.9666,0.9289,2785
zh-CN,NEUTRAL,0.8929,0.9067,1827
zh-CN,CONTRADICTION,0.9319,0.8266,487
