Language,Severity,LLM_entailment_pct,LLM_neutral_pct,LLM_contradiction_pct,LLM_avg_entailment_prob,LLM_avg_neutral_prob,LLM_avg_contradiction_prob,LLM_count,NLI_entailment_pct,NLI_neutral_pct,NLI_contradiction_pct,NLI_avg_entailment_prob,NLI_avg_neutral_prob,NLI_avg_contradiction_prob,NLI_count
de,Neutral,0.5691,0.3090,0.1219,0.5700,0.3056,0.1245,409,0.7126,0.2131,0.0743,0.6702,0.2402,0.0896,409
de,Minor,0.5353,0.3032,0.1615,0.5275,0.3105,0.1621,567,0.6261,0.2798,0.0941,0.5929,0.2957,0.1114,567
de,Major,0.5006,0.3145,0.1849,0.4982,0.3205,0.1815,1508,0.6191,0.2838,0.0971,0.5884,0.2990,0.1126,1508
de,Critical,0.5038,0.3218,0.1744,0.4872,0.3252,0.1874,13,0.6385,0.2949,0.0667,0.5789,0.3234,0.0977,13
es,Neutral,0.4845,0.3665,0.1490,0.4876,0.3613,0.1512,264,0.6226,0.3195,0.0578,0.5872,0.3351,0.0778,264
es,Minor,0.4022,0.4076,0.1902,0.4064,0.4062,0.1875,1376,0.5470,0.3653,0.0876,0.5253,0.3729,0.1018,1376
es,Major,0.4105,0.3626,0.2269,0.4041,0.3592,0.2368,74,0.5376,0.3423,0.1201,0.5254,0.3460,0.1285,74
es,Critical,0.4420,0.3328,0.2252,0.4375,0.3339,0.2288,94,0.5841,0.2874,0.1285,0.5509,0.3102,0.1390,94
fr,Neutral,0.5033,0.3507,0.1460,0.4973,0.3522,0.1506,371,0.6462,0.2806,0.0731,0.6183,0.2983,0.0834,371
fr,Minor,0.3500,0.4093,0.2407,0.3531,0.3985,0.2484,593,0.4948,0.3717,0.1336,0.4734,0.3830,0.1436,593
fr,Major,0.3486,0.3798,0.2716,0.3539,0.3699,0.2763,140,0.5148,0.3181,0.1670,0.4895,0.3417,0.1687,140
fr,Critical,0.0909,0.5567,0.3524,0.1000,0.5312,0.3688,11,0.2333,0.5245,0.2422,0.2410,0.5126,0.2463,11
ru,Neutral,0.4567,0.3616,0.1817,0.4627,0.3513,0.1862,587,0.6133,0.2949,0.0919,0.5912,0.3032,0.1056,587
ru,Minor,0.4751,0.3009,0.2241,0.4731,0.3051,0.2218,205,0.5798,0.3162,0.1040,0.5464,0.3336,0.1201,205
ru,Major,0.3318,0.3598,0.3084,0.3295,0.3716,0.2988,74,0.4590,0.3987,0.1423,0.4369,0.4021,0.1610,74
ru,Critical,0.3543,0.2014,0.4443,0.3527,0.2219,0.4256,20,0.4729,0.3114,0.2157,0.4778,0.3223,0.1998,20
zh-CN,Neutral,0.4599,0.3627,0.1774,0.4553,0.3612,0.1836,663,0.5670,0.3701,0.0629,0.5410,0.3773,0.0816,663
zh-CN,Minor,0.4021,0.4096,0.1883,0.3959,0.4045,0.1997,1207,0.5303,0.3808,0.0889,0.5111,0.3827,0.1062,1207
zh-CN,Major,0.3635,0.4103,0.2263,0.3644,0.3998,0.2359,318,0.5020,0.3750,0.1230,0.4792,0.3860,0.1348,318
zh-CN,Critical,0.4643,0.3929,0.1429,0.4771,0.3492,0.1739,2,0.6071,0.1964,0.1964,0.6250,0.2147,0.1603,2
