language,severity,count_baseline,count_ner,baseline_f1,ner-extension_f1,delta_ner_f1_pct,baseline_em,ner-extension_em,delta_ner_em_pct,baseline_chrf,ner-extension_chrf,delta_ner_chrf_pct,baseline_bleu,ner-extension_bleu,delta_ner_bleu_pct
de,Neutral,1753,844,0.5937,0.7511,26.5,0.4335,0.5912,36.37,65.9556,76.4096,15.85,53.4384,64.2539,20.24
de,Minor,2833,1512,0.5126,0.7427,44.9,0.347,0.5761,66.02,58.7325,78.0964,32.97,44.8425,64.021,42.77
de,Major,7495,3769,0.4758,0.6762,42.1,0.3276,0.5161,57.55,55.0372,72.1172,31.03,41.5847,54.638,31.39
de,Critical,46,34,0.4588,0.7916,72.53,0.3478,0.5882,69.12,51.6619,78.3687,51.7,40.8092,58.2522,42.74
es,Neutral,1207,445,0.4921,0.7724,56.97,0.2635,0.5146,95.32,55.1505,76.1435,38.06,40.5232,63.9592,57.83
es,Minor,7255,3190,0.4139,0.7535,82.04,0.2101,0.5197,147.43,47.6305,75.1794,57.84,33.1931,61.1301,84.17
es,Major,381,228,0.4225,0.638,51.01,0.21,0.3333,58.75,47.6995,65.0746,36.43,33.6488,48.2718,43.46
es,Critical,450,197,0.41,0.6358,55.06,0.2067,0.4619,123.51,48.275,62.0655,28.57,33.5627,49.6216,47.85
fr,Neutral,1562,585,0.4829,0.7541,56.14,0.3041,0.5043,65.83,57.9163,76.9267,32.82,41.2541,59.82,45.0
fr,Minor,2840,1144,0.3515,0.7363,109.48,0.1838,0.4764,159.19,41.7763,73.901,76.9,27.8532,55.4144,98.95
fr,Major,597,345,0.3408,0.6782,99.0,0.1859,0.4261,129.17,40.8671,69.7451,70.66,27.7799,54.6948,96.89
fr,Critical,50,16,0.2066,0.3221,55.9,0.06,0.0625,4.17,27.7592,54.3898,95.93,13.4888,19.3799,43.67
ru,Neutral,2547,1400,0.4601,0.6955,51.17,0.2395,0.3907,63.14,53.4982,72.0355,34.65,36.3829,52.0269,43.0
ru,Minor,1031,581,0.4848,0.701,44.61,0.2939,0.4544,54.61,53.86,72.0412,33.76,40.4697,57.7932,42.81
ru,Major,415,267,0.3661,0.5799,58.41,0.1687,0.3708,119.82,43.068,62.1603,44.33,29.5738,47.094,59.24
ru,Critical,120,85,0.3637,0.4732,30.12,0.1167,0.3176,172.27,47.0901,43.1912,-8.28,30.8798,35.6721,15.52
zh-CN,Neutral,2644,1401,0.4196,0.7521,79.24,0.2186,0.5253,140.31,49.2099,77.5844,57.66,33.8818,62.3283,83.96
zh-CN,Minor,6078,2680,0.4003,0.7207,80.06,0.1603,0.4522,182.21,46.6078,74.5168,59.88,29.3059,57.7592,97.09
zh-CN,Major,1617,839,0.3396,0.622,83.16,0.1373,0.3409,148.29,41.1844,66.8674,62.36,25.8313,48.7249,88.63
zh-CN,Critical,11,12,0.44,0.5556,26.26,0.2727,0.4167,52.78,52.4033,66.8507,27.57,38.9997,54.586,39.97
