language,severity,count,baseline_sbert,P1_sbert,P2_sbert,P3_sbert,delta_P1_pct,delta_P2_pct,delta_P3_pct
de,Neutral,1753,0.728,0.7952,0.7002,0.737,9.23,-3.82,1.23
de,Minor,2833,0.6497,0.7155,0.6368,0.6416,10.13,-1.98,-1.26
de,Major,7495,0.6193,0.6902,0.6055,0.6199,11.44,-2.23,0.09
de,Critical,46,0.5765,0.6083,0.5645,0.5047,5.51,-2.09,-12.46
es,Neutral,1207,0.6292,0.7382,0.6344,0.6597,17.32,0.83,4.85
es,Minor,7255,0.5697,0.6674,0.5717,0.5867,17.16,0.36,2.99
es,Major,381,0.5653,0.6698,0.5928,0.5811,18.48,4.87,2.79
es,Critical,450,0.5981,0.6277,0.5595,0.5674,4.94,-6.46,-5.13
fr,Neutral,1562,0.6613,0.732,0.6712,0.6776,10.7,1.5,2.47
fr,Minor,2840,0.5316,0.6105,0.5493,0.5655,14.83,3.33,6.38
fr,Major,597,0.5389,0.6337,0.5691,0.575,17.58,5.59,6.69
fr,Critical,50,0.4857,0.6925,0.5345,0.5696,42.58,10.05,17.28
ru,Neutral,2547,0.6164,0.7021,0.622,0.6332,13.91,0.91,2.73
ru,Minor,1031,0.6127,0.7074,0.6263,0.6433,15.46,2.22,5.0
ru,Major,415,0.5,0.6063,0.4906,0.5077,21.26,-1.88,1.54
ru,Critical,120,0.5354,0.5618,0.4432,0.4782,4.93,-17.21,-10.67
zh-CN,Neutral,2644,0.5957,0.7133,0.6385,0.6393,19.73,7.18,7.31
zh-CN,Minor,6078,0.5662,0.6784,0.5779,0.5726,19.81,2.07,1.14
zh-CN,Major,1617,0.535,0.6146,0.5249,0.5278,14.87,-1.88,-1.34
zh-CN,Critical,11,0.6907,0.7186,0.6294,0.5841,4.03,-8.88,-15.44
