language,severity,count,baseline_f1,P1_f1,P2_f1,P3_f1,delta_P1_f1_pct,delta_P2_f1_pct,delta_P3_f1_pct,baseline_em,P1_em,P2_em,P3_em,delta_P1_em_pct,delta_P2_em_pct,delta_P3_em_pct,baseline_chrf,P1_chrf,P2_chrf,P3_chrf,delta_P1_chrf_pct,delta_P2_chrf_pct,delta_P3_chrf_pct,baseline_bleu,P1_bleu,P2_bleu,P3_bleu,delta_P1_bleu_pct,delta_P2_bleu_pct,delta_P3_bleu_pct
de,Neutral,1753,0.5937,0.6979,0.5755,0.626,17.55,-3.08,5.43,0.4335,0.3919,0.38,0.4007,-9.6,-12.36,-7.59,65.9556,69.8916,59.1747,63.8198,5.97,-10.28,-3.24,53.4384,55.2728,44.7983,50.3814,3.43,-16.17,-5.72
de,Minor,2833,0.5126,0.5897,0.5094,0.5242,15.05,-0.63,2.27,0.347,0.2807,0.3371,0.305,-19.11,-2.85,-12.1,58.7325,61.119,53.5016,54.4447,4.06,-8.91,-7.3,44.8425,42.6751,38.4142,40.1388,-4.83,-14.34,-10.49
de,Major,7495,0.4758,0.5423,0.4658,0.4753,13.97,-2.12,-0.13,0.3276,0.2504,0.2851,0.2651,-23.56,-12.95,-19.07,55.0372,56.8809,49.1483,51.0828,3.35,-10.7,-7.18,41.5847,38.8491,33.4179,35.5811,-6.58,-19.64,-14.44
de,Critical,46,0.4588,0.4414,0.4135,0.3808,-3.79,-9.87,-17.0,0.3478,0.125,0.3125,0.1667,-64.06,-10.16,-52.08,51.6619,45.9514,47.1753,40.3283,-11.05,-8.68,-21.94,40.8092,26.0164,35.7997,26.4316,-36.25,-12.28,-35.23
es,Neutral,1207,0.4921,0.6234,0.5144,0.5496,26.7,4.54,11.7,0.2635,0.2783,0.2686,0.3406,5.64,1.95,29.28,55.1505,62.5111,53.493,57.7644,13.35,-3.01,4.74,40.5232,45.1645,36.7062,42.2339,11.45,-9.42,4.22
es,Minor,7255,0.4139,0.5216,0.4323,0.4528,26.02,4.44,9.39,0.2101,0.1929,0.2144,0.2281,-8.15,2.07,8.58,47.6305,53.9086,46.8023,48.4478,13.18,-1.74,1.72,33.1931,35.4551,30.9112,32.5988,6.81,-6.87,-1.79
es,Major,381,0.4225,0.5139,0.4538,0.447,21.62,7.4,5.8,0.21,0.1759,0.2412,0.2236,-16.24,14.87,6.5,47.6995,52.9682,47.5134,46.6165,11.05,-0.39,-2.27,33.6488,33.8524,33.825,31.9797,0.61,0.52,-4.96
es,Critical,450,0.41,0.4671,0.403,0.431,13.91,-1.72,5.1,0.2067,0.1731,0.2244,0.2265,-16.25,8.56,9.59,48.275,51.2434,44.5506,46.8051,6.15,-7.71,-3.05,33.5627,31.4264,27.9833,31.4149,-6.36,-16.62,-6.4
fr,Neutral,1562,0.4829,0.5729,0.5252,0.5352,18.63,8.75,10.83,0.3041,0.2642,0.3252,0.2925,-13.14,6.93,-3.83,57.9163,59.8454,55.7744,57.0635,3.33,-3.7,-1.47,41.2541,42.3232,39.003,42.3735,2.59,-5.46,2.71
fr,Minor,2840,0.3515,0.4487,0.3868,0.3964,27.66,10.04,12.79,0.1838,0.1559,0.1964,0.195,-15.16,6.86,6.09,41.7763,47.1181,40.2317,43.1863,12.79,-3.7,3.37,27.8532,29.4554,25.8029,29.0663,5.75,-7.36,4.36
fr,Major,597,0.3408,0.4345,0.4005,0.4076,27.49,17.51,19.61,0.1859,0.1349,0.2467,0.2204,-27.46,32.69,18.54,40.8671,47.1193,42.7601,44.546,15.3,4.63,9.0,27.7799,28.1509,30.1299,31.5213,1.34,8.46,13.47
fr,Critical,50,0.2066,0.4521,0.28,0.3457,118.82,35.5,67.31,0.06,0.0816,0.1224,0.0408,36.05,104.08,-31.97,27.7592,50.3786,35.3202,42.432,81.48,27.24,52.86,13.4888,23.4705,15.7033,19.3229,74.0,16.42,43.25
ru,Neutral,2547,0.4601,0.5361,0.4747,0.4892,16.52,3.19,6.33,0.2395,0.1458,0.2099,0.2317,-39.12,-12.35,-3.26,53.4982,56.201,50.7558,52.4884,5.05,-5.13,-1.89,36.3829,33.4178,31.5339,35.8013,-8.15,-13.33,-1.6
ru,Minor,1031,0.4848,0.5567,0.4925,0.528,14.84,1.59,8.92,0.2939,0.1982,0.2639,0.2819,-32.56,-10.19,-4.09,53.86,56.597,52.1996,54.4313,5.08,-3.08,1.06,40.4697,37.797,36.8756,39.5899,-6.6,-8.88,-2.17
