Language,Severity,baseline_SBERT,baseline_count,ner_SBERT,ner_count,P1_fewshot_SBERT,P1_fewshot_count,P2_cot_SBERT,P2_cot_count,P3_concise_SBERT,P3_concise_count,delta_ner_SBERT,delta_P1_fewshot_SBERT,delta_P2_cot_SBERT,delta_P3_concise_SBERT
de,Neutral,0.7493,409,0.7667,426,0.8118,426,0.7270,426,0.7583,426,0.0174,0.0625,-0.0222,0.0091
de,Minor,0.6633,567,0.8020,572,0.7237,572,0.6446,572,0.6512,572,0.1387,0.0604,-0.0187,-0.0121
de,Major,0.6368,1508,0.7519,1520,0.7001,1520,0.6184,1520,0.6296,1520,0.1151,0.0633,-0.0184,-0.0072
de,Critical,0.6476,13,0.8632,13,0.6298,13,0.5558,13,0.5132,13,0.2156,-0.0178,-0.0918,-0.1344
es,Neutral,0.6665,264,0.7219,264,0.7620,264,0.6634,264,0.6899,264,0.0553,0.0954,-0.0031,0.0233
es,Minor,0.5992,1376,0.7626,1376,0.6950,1376,0.5980,1376,0.6153,1376,0.1634,0.0958,-0.0011,0.0161
es,Major,0.5901,74,0.6990,74,0.6882,74,0.6120,74,0.6043,74,0.1089,0.0981,0.0219,0.0142
es,Critical,0.6341,94,0.6815,94,0.6454,94,0.6032,94,0.6025,94,0.0474,0.0114,-0.0309,-0.0315
fr,Neutral,0.6921,371,0.7018,377,0.7593,377,0.6907,377,0.7013,377,0.0097,0.0672,-0.0014,0.0092
fr,Minor,0.5650,593,0.7189,597,0.6517,597,0.5797,597,0.5988,597,0.1539,0.0867,0.0147,0.0338
fr,Major,0.5738,140,0.7241,140,0.6758,140,0.6115,140,0.6233,140,0.1503,0.1020,0.0377,0.0495
fr,Critical,0.4529,11,0.3905,11,0.6697,11,0.5093,11,0.5291,11,-0.0624,0.2167,0.0564,0.0762
ru,Neutral,0.6526,587,0.8002,587,0.7269,587,0.6518,587,0.6604,587,0.1477,0.0744,-0.0008,0.0078
ru,Minor,0.6241,205,0.8216,205,0.7194,205,0.6453,205,0.6688,205,0.1975,0.0953,0.0213,0.0447
ru,Major,0.5112,74,0.7865,74,0.6253,74,0.5129,74,0.5271,74,0.2753,0.1140,0.0017,0.0159
ru,Critical,0.4989,20,0.5410,20,0.5412,20,0.4185,20,0.4596,20,0.0420,0.0423,-0.0805,-0.0393
zh-CN,Neutral,0.6051,663,0.7661,675,0.7368,675,0.6610,675,0.6714,675,0.1610,0.1317,0.0559,0.0663
zh-CN,Minor,0.5830,1207,0.6834,1210,0.6943,1210,0.5955,1210,0.5876,1210,0.1004,0.1113,0.0125,0.0046
zh-CN,Major,0.5736,318,0.7175,318,0.6557,318,0.5669,318,0.5710,318,0.1439,0.0821,-0.0067,-0.0026
zh-CN,Critical,0.6627,2,0.6773,3,0.7142,3,0.5982,3,0.5806,3,0.0146,0.0516,-0.0645,-0.0821
